nombre,tipo_plaza,ciudad,wifi,cine,estacionamiento,tiendas,niveles,Autoservicio,"Cafés, Helados y Dulces",Calzado,Departamental,Deportes,Dulces y Chocolates,Entretenimiento,Gimnasio,"Foto, Música, Libros y Regalos",Hogar,Joyería y Accesorios,Mascotas,Moda,Niños y bebés,Ópticas,Otros,Restaurantes y Food Court,Salud y Belleza,Servicios,Tecnología,Vinos y Licores,num_elementos,num_tiendas
zentrika,Lifestyle Center,CDMX,si,si,si,si,3 niveles,0,"Da Silva Panadería Artesanal', 'Krispy Kreme', 'Nutrisa', 'Santa Clara', 'Starbucks', 'Sucre'",0,0,Tecfit',Sisters',"'Blockbuster', 'Teatro Banamex'",9Round',0," 'Dormimundo', 'Gant', 'Gonfer', 'I World', 'Interiorismo', 'Menta', 'Puente Viejo'", 'Casa de Moños',0,0,'Babymundo',0,0,"'Albahaca', 'Batuke Churrascaria', 'El Pialadero De Guadalajara', 'El Tizoncito', 'La Cueva', 'Los De Pescado', 'Los Socorritos', ""McDonald's"", 'Subway', 'Sushi Itto', 'Tortas La Castellana'","'Les Nails', 'Médica Rabago'","'BanBajío', 'BodyBrite', 'Bony Domy', 'Check Up Center', 'Dental Plus', 'Eos Instituto de Danza', 'Farmacia Servi Express', 'Fisio Santa Fe', 'Honda', 'Iusacell', 'Mail Boxes Etc.', 'National Car Rental', 'Office Max', 'Oh my Cut!', 'Oir Bien', 'Qi-ikllum SPA', 'Quest Diagnostics', 'Studio Model', 'Tintorerías MAX'",0,0,11,52
zentralia coacalco,Lifestyle Center,Estado de ... San Franci...,si,si,si,si,2 niveles,0,"La Michoacana', 'Montparnasse'",0,"'Sanborns', 'Sears'",0,Wonka',"'Boliche', 'Jump In', 'La Culpable'",Smartfit'," 'Chissa', 'Librería Visión'","'Ingenia Muebles', 'Robin Wood'"," 'Cristal Joyas', 'Momentos'",0," 'After Boutique', 'Creaciones Parisinas', 'Drolam Outlet', 'Ferrioni', 'Mama Mía', ""Opp's Jeans"", 'Planeta de Héroes', 'Quarry Jeans'",'Campanita & Kids',"'Ópticas Devlyn', 'Ópticas Lux'",0," 'Kepacrepa', ""McDonald's"", 'Yardas Zoo'","'Amour Cosmetics', 'GNC'","'Best Day', 'CFE', 'Fancy Nails', 'Golden Hair', 'HSBC', 'Inbursa', 'Iusacell', 'Salón Fútbol', 'Slim Center', 'Telcel', 'Universidad Latinoamericana'","Mycel', 'Steren'",0,15,44
zentralia churubusco,Lifestyle Center,CDMX,si,si,si,si,2 niveles,'Chedraui '," 'Baskin Robbins', 'Nutrisa', 'Sacher', 'Starbucks'","'USA Shoes', 'Zapatería Rocas'",0,"'Martí', 'Tenis Outlet'", 'Castillo de Gold',"Gamer's Paradise, 'Jump In'",Smartfit',0,"'Ingenia Muebles', 'Muebles Dico'",0, 'Casa Luna',"'Astral Freaks', 'Creaciones Parisinas', 'Mabel', 'Quarry Jeans', 'World Evolution'",0,"'Especialistas Opticos', 'Optimart'",0,"'Cassava Roots', ""Domino's Pizza"", 'Fresh Salads', 'Jardín', 'Mesón Taurino', 'Sirloin Stockade', 'Subway', 'Toks', 'Vive Light Salads', 'Wing Stop'","'Amour Cosmetics', 'Casa Barba', 'GNC', 'Sally Beauty'","'Banamex', 'BBVA ', 'Best Day', 'CST Telcel', 'DC Kids', 'DC Maat', 'Dentalite', 'Depelle', 'Dream Nails', 'HIR Casa', 'HSBC', 'Iusacell', 'Office Max', 'Tintorerías Pressto'","A-Móvil', 'Best Buy', 'Celular Milenium', 'Movistar', 'Nextel', 'Nextel Centro de Atención a Clintes'",0,15,57
zentralia cd del carmen,Lifestyle Center,Cd. Del Carmen,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
world trade center ciudad de mexico,Lifestyle Center,CDMX,si,si,si,si,4 niveles,"7-Eleven',","'Casa de Pan', 'Cielito Querido Café', 'El Globo', 'Starbucks'",0,"'Sears', 'Viajes Sears'",0,0," 'Automodelli Club Autos a Escala', 'Cinemex'",0,0,0,D'Collection,0,0,0,"'Faco Laser', 'Óptica Solar',",0,"'Casa de Toño', ""Chili's"", 'El Gatto Gourmet', 'Filicori', 'IHOP', 'Panda Express', 'Punto Verde', 'Subway', 'Sushi Itto', 'Todo Freshco', 'Tortas La Castellana', 'Una por Ostra'","'Acqua Salón de Belleza', 'Cosmética Natura'","'ADN México', 'Advance English Center', 'American Airlines Inc', 'Aplicatodo', 'AVIS', 'Axtel', 'Banamex', 'BBVA', 'Bestel', 'Bos de Mujer', 'Centro Cambiario Garduño', 'CFE', 'Correos de México', 'Creatur Mayorista de Viajes', 'DEEL Bienes Raíces', 'Depelle', 'Estética Automotriz', 'Excelencia Odontológica', 'Farmacia Plaza WT', 'Grupo Adya Recursos Corporativo...', 'Grupo Ro', 'Grupo Telelink', 'Manpower', 'MAPFRE', 'Maxicopias', 'Med Center', 'Office Paper W', 'Olympus', 'Pakmail', 'Perfect Image', 'Pronokal', 'Punto X', 'Quest Diagnostics', 'Santander', 'Scotiabank', 'Servtech MX', 'SIVA', 'Spia Comunicación Corporativa ...', 'Swiss Security Boxes', 'Telcel', 'Telecomm Telégrafos', 'Tintorería Tintoretto', 'TV Urbana', 'Wall Street English', 'Zona 04'",CDC',The beer box',12,74
via san angel,Lifestyle Center,Puebla Heroica Pu...,si,si,si,si,1 nivel,Walmart',"'Boruh', 'El Globo', ""Gloria Jean's Coffees"", 'Moyo Frozen Yogurt', 'Santa Clara'"," 'Botas y Botines San Francisco', 'Carlo Rossetti', 'Mistertennis', 'Stomp Shoes'",0,0,0,'Game Planet',0,La concordia',"'Elementos', 'Idea Interior', 'Prichos'","Esperanza Yadeun', ""Gabriela's"", 'Genuino Joyas', 'Intermoda', 'Michelle', 'Pixxi', 'Plata Mía'",Puppy Couture'," 'Area Code', 'Even True', 'Karma Love', 'Marcel', 'Ragazza Boutique', ""Ricardo's"", 'Vianci'",'Qüendi',"'Óptica Americana', 'Óptica Moriel'",0,"'A Takear!', 'Cassava Roots', 'La Bella Pizza', 'La Crepería', 'Los De Pescado', 'Merihnos', 'Mr. Pretzels', 'ROCK & WOK', 'Salad Bowl', 'Shirushi', 'Subway', 'Tai Li', 'Vips'"," 'GNC', 'Prodérmica', 'Sally Beauty', 'Spassion', 'Vellísimo Center'"," 'Aeroméxico', 'AR Podólogos', 'Autolavado', 'BanBajío', 'BBVA ', 'Belisama', 'Best Day', 'Casa de Bolsa Interacciones', 'Cerrajería Esmeralda', 'Estrella Roja', 'Garay', 'Happy Cut', 'HSBC', 'Inbursa', 'Iusacell', 'IXE', 'Montepío Luz Saviñón', 'Nail Space', 'Pronósticos', 'Santander Select', 'Scotiabank', 'Telcel', 'Telmex', 'Tintorerías Pressto', 'Ultravisión', 'Visas'","'ACC COM', 'Cellairis', 'Ramayus', 'Steren Shop'",Tarlets Coffee',16,82
valle soleado,Lifestyle Center,Nuevo Leó... Guadalupe,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban center juriquilla,Lifestyle Center,Querétaro Montenegro,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban center jurica,Lifestyle Center,Querétaro Santiago d...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban center condesa,Lifestyle Center,CDMX,si,si,si,si,3 niveles,0,'Starbucks Coffee',0,0,0,0,0,0,0,0,0,0,0,0,0,'Apotheke,"'Crepes & Waffles', 'Sonora Grill Prime', 'Tori Tori'",0,0,0,0,3,5
